iter	RMSE
298	555.4293455
299	555.3634286
300	555.1712074
301	555.0909017
302	555.020069
303	554.9180292
304	554.853858
305	554.7581463
306	554.6806564
307	554.5825875
308	554.5231109
309	554.3670838
310	554.2740154
311	554.2371634
312	554.1927706
313	554.1222176
314	553.9656686
315	553.9256638
316	553.8968802
317	553.7124749
318	553.6368693
319	553.6084723
320	553.5726187
321	553.5323366
322	553.4367211
323	553.3612283
324	553.2574065
325	553.1719055
326	553.1221485
327	553.0187837
328	552.9117658
329	552.7490431
330	552.7169343
331	552.5481934
332	552.4617319
333	552.3711737
334	552.1368565
335	551.9893716
336	551.938071
337	551.8351877
338	551.6811228
339	551.5630541
340	551.5102741
341	551.4149437
342	551.3463973
343	551.2521345
344	551.161218
345	551.0827894
346	551.0077285
347	550.9362631
348	550.8782464
349	550.8323214
350	550.6711262
351	550.6036945
352	550.528604
353	550.4678087
354	550.4297715
355	550.3648992
356	550.3526472
357	550.2739541
358	550.1372331
359	549.9560026
360	549.8648599
361	549.8122649
362	549.673316
363	549.6140506
364	549.5575335
365	549.5029903
366	549.4687621
367	549.355753
368	549.3104684
369	549.1884357
370	549.0804452
371	549.0456622
372	548.9569244
373	548.9082691
374	548.7923039
375	548.7167823
376	548.6189947
377	548.5470148
378	548.4507632
379	548.398553
380	548.2990892
381	548.2705116
382	548.1071646
383	548.018524
384	548.0004369
385	547.9531146
386	547.8603234
387	547.6468393
388	547.4782284
389	547.4576737
390	547.337318
391	547.2860072
392	547.2398967
393	547.1363298
394	547.0673705
395	547.0285501
396	546.9047725
397	546.8460002
398	546.8340105
399	546.7357851
400	546.6420276
401	546.4989092
402	546.4404997
403	546.3140625
404	546.1551657
405	546.0858816
406	545.939864
407	545.8863412
408	545.8235103
409	545.7103908
410	545.6497333
411	545.5753483
412	545.4888199
413	545.3289283
414	545.2742209
415	545.2044753
416	545.1525158
417	545.0994895
418	545.0150542
419	544.9645066
420	544.9122939
421	544.8770838
422	544.7864763
423	544.7531175
424	544.6669921
425	544.6558198
426	544.6089994
427	544.5856226
428	544.4676369
429	544.4485195
430	544.3158642
431	544.2833001
432	544.153765
433	544.0719887
434	544.011769
435	543.9451756
436	543.9345468
437	543.8874191
438	543.8225818
439	543.7656711
440	543.755154
441	543.6941343
442	543.6840195
443	543.6030332
444	543.5433869
445	543.5015728
446	543.3580503
447	543.3002572
448	543.2435906
449	543.2267093
450	543.0777878
451	543.0277424
452	542.9520475
453	542.8103849
454	542.7974565
455	542.7715673
456	542.7157251
457	542.5736509
458	542.5259237
459	542.4520254
460	542.39294
461	542.2908319
462	542.2351287
463	542.1542035
464	542.1343722
465	542.0512995
466	541.9361525
467	541.8943029
468	541.8399999
469	541.7328713
470	541.5882702
471	541.4533223
472	541.3783877
473	541.2927484
474	541.1754694
475	541.1208002
476	541.049792
477	540.9986399
478	540.8914324
479	540.847724
480	540.8022639
481	540.6910149
482	540.6755331
483	540.6064386
484	540.5640241
485	540.472425
486	540.4228437
487	540.3234877
488	540.2581888
489	540.2153352
490	540.1736304
491	539.978938
492	539.8693493
493	539.7621965
494	539.7106586
495	539.6350483
496	539.6154459
497	539.4999512
498	539.3971124
499	539.3171193
500	539.237883
501	539.1584252
502	539.1275165
503	539.0732967
504	539.0392815
505	539.0098329
506	538.9537102
507	538.9008279
508	538.8511747
509	538.8391783
510	538.7884249
511	538.7204639
512	538.6494324
513	538.548928
514	538.4357003
515	538.3751145
516	538.3341605
517	538.2979932
518	538.2354747
519	538.1598459
520	538.0310554
521	537.9247765
522	537.8643827
523	537.8144909
524	537.6897418
525	537.6455785
526	537.5728539
527	537.5384152
528	537.5092714
529	537.4595764
530	537.4190734
531	537.36799
532	537.3334953
533	537.2593519
534	537.2363072
535	537.1891245
536	537.1669835
537	537.105099
538	537.0346337
539	536.8548013
540	536.8331178
541	536.7874385
542	536.7594924
543	536.7112378
544	536.6961471
545	536.5833295
546	536.5405345
547	536.3625699
548	536.325844
549	536.2763986
550	536.2082936
551	536.1685796
552	536.1204184
553	536.083423
554	536.0160812
555	535.9809787
556	535.9340226
557	535.8711234
558	535.760315
559	535.7108401
560	535.6529879
561	535.5787262
562	535.5526149
563	535.5371023
564	535.4632658
565	535.3634048
566	535.3094045
567	535.2670448
568	535.2001893
569	535.1021808
570	535.0379645
571	535.0303378
572	534.962396
573	534.8946917
574	534.8487012
575	534.8391124
576	534.7990218
577	534.6150719
578	534.5500462
579	534.5102298
580	534.4893806
581	534.4347334
582	534.3628622
583	534.2625929
584	534.2128641
585	534.1724299
586	534.1167596
587	534.0727801
588	534.0403961
589	534.0036795
590	533.9634725
591	533.9270911
592	533.8641857
593	533.690705
594	533.6404168
595	533.5984168
596	533.5002395
597	533.3908513
598	533.3129858
599	533.2827595
