iter	RMSE
0	3707.814811
1	3412.173649
2	3140.876534
3	2890.260896
4	2670.5078
5	2473.009868
6	2292.222417
7	2133.007069
8	1984.004103
9	1854.235335
10	1734.577628
11	1628.268281
12	1537.335731
13	1452.575105
14	1376.434462
15	1307.425522
16	1249.027305
17	1191.530965
18	1141.539674
19	1098.769876
20	1056.730611
21	1021.626617
22	989.7953751
23	958.7604053
24	933.6200519
25	910.9474804
26	890.9122264
27	870.7445047
28	851.2263798
29	836.149746
30	822.2300458
31	807.4355625
32	796.1138973
33	785.7815236
34	774.3838618
35	765.1156359
36	756.9929433
37	748.6588028
38	741.436666
39	733.9926101
40	728.6009528
41	722.8780682
42	717.0587325
43	712.2577171
44	707.9683467
45	704.1976062
46	699.5164131
47	695.4934825
48	691.8329568
49	687.8525964
50	684.5576475
51	681.4613182
52	678.5101725
53	675.3682983
54	672.474958
55	669.751728
56	665.7879109
57	664.1744222
58	661.7621291
59	659.7345161
60	656.512141
61	654.3237332
62	652.0593465
63	649.8354485
64	648.4066384
65	646.3202784
66	644.3525459
67	642.6432798
68	641.0619979
69	639.7752395
70	638.4093938
71	637.4240276
72	635.7622357
73	634.2412458
74	633.1309004
75	630.8947624
76	629.9554682
77	628.8919837
78	627.8862089
79	627.2477366
80	625.5555329
81	624.2874971
82	622.9935197
83	621.8230245
84	620.1319584
85	619.4864981
86	618.8490848
87	617.9679616
88	617.2829249
89	616.667362
90	615.8767817
91	615.166916
92	614.4320353
93	613.7573553
94	613.2410025
95	612.1815502
96	611.8790639
97	611.0256374
98	610.6153309
99	609.7070054
100	609.3456243
101	608.8221532
102	608.3612705
103	607.5993983
104	607.1911295
105	606.5472587
106	606.1101069
107	605.4669474
108	604.9187888
109	604.3549681
110	604.0039112
111	603.3783339
112	603.0750097
113	602.8101973
114	602.4952
115	601.9346606
116	601.6586467
117	600.7922756
118	600.059619
119	599.5492351
120	599.112505
121	598.9292074
122	598.5207472
123	598.2926811
124	597.7387459
125	597.4080112
126	596.5868003
127	596.2945454
128	595.6904046
129	595.2608391
130	595.0116561
131	594.7272501
132	594.1802916
133	593.9463424
134	593.6816056
135	593.4412663
136	592.9893715
137	592.8060084
138	592.4572703
139	592.3208497
140	592.0141433
141	591.7598565
142	591.5660368
143	591.1029245
144	590.942149
145	590.576011
146	590.4321512
147	590.233958
148	589.991814
149	589.8479956
150	589.5919609
151	589.2325777
152	589.0093593
153	588.6719613
154	588.5322431
155	588.2871468
156	588.0220213
157	587.8582067
158	587.6705505
159	587.4427123
160	587.2433415
161	587.0778816
162	586.8329695
163	586.5523318
164	586.2675334
165	586.0810314
166	585.9482533
167	585.6917165
168	585.4825309
169	585.1398062
170	584.8806548
171	584.750931
172	584.613129
173	584.5235455
174	584.3090831
175	584.1636095
176	583.9705109
177	583.652504
178	583.3516655
179	583.099075
180	582.706987
181	582.5490712
182	582.4056591
183	582.2637904
184	582.1529375
185	581.910826
186	581.715535
187	581.6140364
188	581.4702571
189	581.3504538
190	581.1787691
191	580.9825574
192	580.8715775
193	580.7250718
194	580.5701142
195	580.4599733
196	580.3389847
197	580.1422484
198	580.0096455
199	579.785551
200	579.5437082
201	579.3761155
202	579.3198796
203	579.106416
204	578.8824154
205	578.7192388
206	578.5522113
207	578.4695529
208	578.3224602
209	578.0374102
210	577.8607876
211	577.7805641
212	577.6931275
213	577.5689598
214	577.5161724
215	577.3054857
216	577.1530197
217	577.0726993
218	576.9382448
219	576.9000582
220	576.7848594
221	576.6888906
222	576.526348
223	576.305001
224	576.2134118
225	576.1309285
226	576.0090717
227	575.8901731
228	575.8110173
229	575.7090613
230	575.6471685
231	575.6112552
232	575.5387278
233	575.4290502
234	575.2806237
235	575.1101726
236	574.931486
237	574.6985522
238	574.5570527
239	574.4774549
240	574.3339742
241	574.2487857
242	573.9621471
243	573.7828743
244	573.6066108
245	573.4564912
246	573.3520771
247	573.2761582
248	573.1163148
249	572.9838401
250	572.8400756
251	572.7281835
252	572.5966023
253	572.4725952
254	572.362478
255	572.244976
256	572.0843827
257	572.064235
258	572.0175266
259	571.8805825
260	571.7972727
261	571.7375159
262	571.6409234
263	571.4692676
264	571.3936425
265	571.3166306
266	571.2150459
267	571.0943279
268	570.9439785
